pedido_id,data_pedido,produto,categoria,uf,canal,quantidade,preco_unitario,desconto_pct,valor_total,cliente_recorrente,avaliacao
PED-100061,13/11/2024,Mesa Ajustável,Mobiliário,SC,Televendas,1,"R$ 2.365,44","2,1%","R$ 2.173,56",sim,3.0
PED-100062,30/08/2024,"Monitor 27""",Periféricos,RJ,Loja Física,1,"R$ 1.528,21","13,8%","R$ 756,48",sim,4.0
PED-100063,07/06/2024,Webcam HD,Áudio,SC,Marketplace,5,"R$ 306,84","11,1%","R$ 1.635,82",sim,2.0
PED-100064,27/09/2025,Teclado Mecânico,Periféricos,RJ,E-commerce,2,"R$ 393,17","5,7%","R$ 792,19",sim,4.0
PED-100065,08/01/2024,Webcam HD,Áudio,SP,Loja Física,2,"R$ 269,15","8,9%","R$ 490,57",nao,5.0
PED-100066,03/03/2024,Notebook Pro,Computadores,RJ,Marketplace,2,"R$ 6.638,91","12,3%","R$ 14.311,29",nao,1.0
PED-100067,03/05/2024,"Monitor 27""",Periféricos,PE,Marketplace,1,"R$ 1.520,81","6,6%","R$ 1.798,47",nao,4.0
PED-100068,12/09/2025,Webcam HD,Áudio,RS,Loja Física,1,"R$ 305,77","2,7%","R$ 317,86",sim,1.0
PED-100069,18/03/2025,Mouse Sem Fio,Periféricos,RS,Marketplace,4,"R$ 187,99","6,8%","R$ 1.021,24",nao,1.0
PED-100070,18/07/2025,Mouse Sem Fio,Periféricos,PR,Loja Física,5,"R$ 175,06","2,6%","R$ 1.098,47",sim,
PED-100071,08/05/2024,Cadeira Ergo,Mobiliário,RJ,Loja Física,2,"R$ 1.812,30","10,7%","R$ 4.099,48",sim,5.0
PED-100072,06/04/2025,Mesa Ajustável,Mobiliário,MG,Marketplace,1,"R$ 2.454,34","0,0%","R$ 3.712,93",nao,3.0
PED-100073,24/08/2024,Notebook Pro,Computadores,SC,E-commerce,4,"R$ 6.805,06","5,2%","R$ 14.812,26",sim,1.0
PED-100074,08/11/2024,Mesa Ajustável,Mobiliário,SP,Marketplace,5,"R$ 2.570,46","13,1%","R$ 10.487,80",sim,3.0
PED-100075,03/01/2024,Webcam HD,Áudio,RS,Televendas,1,"R$ 293,12","9,5%","R$ 265,24",nao,3.0
PED-100076,30/01/2025,Webcam HD,Áudio,CE,Marketplace,4,"R$ 290,08","0,0%","R$ 1.383,10",sim,3.0
PED-100077,15/06/2025,Mouse Sem Fio,Periféricos,RS,E-commerce,1,"R$ 198,01","17,4%","R$ 231,05",sim,1.0
PED-100078,28/02/2025,Mesa Ajustável,Mobiliário,SP,Loja Física,3,"R$ 2.296,44","5,0%","R$ 8.772,34",sim,3.0
PED-100079,08/04/2024,Mouse Sem Fio,Periféricos,SP,Televendas,3,"R$ 179,23","9,9%","R$ 619,32",nao,4.0
PED-100080,07/12/2024,Notebook Pro,Computadores,RS,Televendas,4,"R$ 6.776,22","8,1%","R$ 26.075,41",nao,1.0
PED-100081,20/06/2024,Webcam HD,Áudio,SP,E-commerce,3,"R$ 298,01","8,8%","R$ 977,75",nao,3.0
PED-100082,09/09/2025,"Monitor 27""",Periféricos,MG,Televendas,2,"R$ 1.482,70","12,4%","R$ 2.776,17",nao,1.0
PED-100083,17/07/2025,Mouse Sem Fio,Periféricos,RS,Televendas,5,"R$ 170,45","18,5%","R$ 894,64",sim,3.0
PED-100084,29/04/2024,Cadeira Ergo,Mobiliário,SC,Marketplace,2,"R$ 1.854,54","17,6%","R$ 3.908,41",sim,1.0
PED-100085,22/11/2024,Cadeira Ergo,Mobiliário,PR,Televendas,2,"R$ 1.655,90","10,1%","R$ 2.794,60",sim,4.0
PED-100086,24/08/2025,"Monitor 27""",Periféricos,MG,Loja Física,2,"R$ 1.654,36","10,2%","R$ 3.449,07",sim,3.0
PED-100087,26/06/2025,Teclado Mecânico,Periféricos,MG,E-commerce,6,"R$ 404,65","9,7%","R$ 3.095,73",sim,3.0
PED-100088,29/03/2025,Mesa Ajustável,Mobiliário,RJ,Loja Física,1,"R$ 2.328,05","5,4%","R$ 3.209,20",nao,1.0
PED-100089,13/02/2025,Mesa Ajustável,Mobiliário,RS,Marketplace,1,"R$ 2.486,62","2,6%","R$ 3.248,25",sim,3.0
PED-100090,27/01/2024,Teclado Mecânico,Periféricos,CE,E-commerce,3,"R$ 386,24","8,6%","R$ 1.059,30",sim,2.0
PED-100091,19/04/2025,"Monitor 27""",Periféricos,RJ,Loja Física,4,"R$ 1.551,10","6,5%","R$ 8.775,15",sim,1.0
PED-100092,30/10/2024,Mouse Sem Fio,Periféricos,SP,Loja Física,2,"R$ 178,27","15,7%","R$ 268,35",sim,5.0
PED-100093,28/02/2024,Headset,Áudio,RS,Loja Física,2,"R$ 358,02","9,5%","R$ 731,14",sim,3.0
PED-100094,05/06/2024,Mouse Sem Fio,Periféricos,RJ,Marketplace,4,"R$ 147,69","13,0%","R$ 616,10",sim,5.0
PED-100095,12/12/2024,Cadeira Ergo,Mobiliário,RJ,Loja Física,1,"R$ 1.894,76","12,7%","R$ 1.731,51",sim,5.0
PED-100096,10/04/2025,Webcam HD,Áudio,SP,Televendas,2,"R$ 266,80","9,8%","R$ 728,06",nao,3.0
PED-100097,20/11/2024,Cadeira Ergo,Mobiliário,PR,Loja Física,1,"R$ 1.853,89","0,1%","R$ 1.738,21",nao,5.0
PED-100098,27/01/2025,Teclado Mecânico,Periféricos,SP,E-commerce,2,"R$ 435,37","11,2%","R$ 921,72",sim,5.0
PED-100099,11/07/2025,Teclado Mecânico,Periféricos,MG,E-commerce,2,"R$ 390,68","13,0%","R$ 875,43",sim,1.0
PED-100100,15/03/2025,Teclado Mecânico,Periféricos,CE,Loja Física,1,"R$ 430,25","8,5%","R$ 573,38",sim,3.0
PED-100101,19/08/2024,"Monitor 27""",Periféricos,MG,E-commerce,3,"R$ 1.453,04","5,9%","R$ 2.353,36",sim,3.0
PED-100102,15/02/2025,Mesa Ajustável,Mobiliário,SP,E-commerce,5,"R$ 2.182,87","9,2%","R$ 13.289,08",nao,3.0
PED-100103,17/01/2025,Notebook Pro,Computadores,SP,Loja Física,1,"R$ 7.128,86","3,8%","R$ 8.177,08",sim,1.0
PED-100104,10/03/2024,Headset,Áudio,PR,E-commerce,1,"R$ 354,58","10,8%","R$ 388,52",sim,3.0
PED-100105,07/02/2024,Mesa Ajustável,Mobiliário,SP,E-commerce,2,"R$ 2.605,42","15,4%","R$ 4.973,10",sim,4.0
PED-100106,26/02/2025,Mesa Ajustável,Mobiliário,RJ,Marketplace,2,"R$ 2.621,56","11,3%","R$ 6.236,36",nao,4.0
PED-100107,05/09/2024,Mouse Sem Fio,Periféricos,PR,Marketplace,6,"R$ 178,61","12,5%","R$ 856,59",sim,2.0
PED-100108,17/01/2025,Mesa Ajustável,Mobiliário,SP,Loja Física,1,"R$ 2.472,25","2,1%","R$ 2.885,58",nao,4.0
PED-100109,25/07/2024,Headset,Áudio,RJ,Loja Física,4,"R$ 354,75","3,5%","R$ 1.500,44",sim,4.0
PED-100110,24/05/2024,Teclado Mecânico,Periféricos,SP,Televendas,1,"R$ 392,49","4,7%","R$ 473,80",sim,2.0
PED-100111,06/04/2024,Cadeira Ergo,Mobiliário,CE,Televendas,1,"R$ 1.951,75","8,3%","R$ 2.288,34",sim,5.0
PED-100112,01/09/2024,"Monitor 27""",Periféricos,SP,Loja Física,1,"R$ 1.420,36","11,4%","R$ 1.149,71",sim,3.0
PED-100113,06/06/2025,"Monitor 27""",Periféricos,SP,Loja Física,1,"R$ 1.348,80","9,9%","R$ 1.715,86",nao,2.0
PED-100114,13/09/2024,Headset,Áudio,RJ,E-commerce,2,"R$ 329,98","12,8%","R$ 525,75",sim,5.0
PED-100115,30/08/2024,Webcam HD,Áudio,PR,Loja Física,4,"R$ 279,83","17,9%","R$ 527,17",sim,5.0
PED-100116,03/01/2025,Teclado Mecânico,Periféricos,SC,Televendas,1,"R$ 386,20","8,8%","R$ 419,85",sim,2.0
PED-100117,18/09/2025,"Monitor 27""",Periféricos,SP,Televendas,1,"R$ 1.461,42","9,9%","R$ 1.406,96",sim,5.0
PED-100118,08/09/2024,Teclado Mecânico,Periféricos,RS,Loja Física,2,"R$ 409,28","2,9%","R$ 725,89",sim,2.0
PED-100119,12/01/2025,Cadeira Ergo,Mobiliário,RJ,Televendas,1,"R$ 1.861,12","2,3%","R$ 2.166,49",sim,5.0
PED-100120,08/10/2024,Cadeira Ergo,Mobiliário,CE,Loja Física,5,"R$ 1.830,71","0,2%","R$ 8.148,47",sim,2.0
PED-100121,22/01/2025,Webcam HD,Áudio,SP,E-commerce,2,"R$ 293,88","9,1%","R$ 636,84",nao,1.0
PED-100122,12/10/2024,Webcam HD,Áudio,PR,E-commerce,1,"R$ 280,94","3,2%","R$ 242,59",sim,3.0
PED-100123,12/02/2025,Mesa Ajustável,Mobiliário,RJ,Televendas,3,"R$ 2.305,54","10,5%","R$ 8.301,33",nao,4.0
PED-100124,16/12/2024,Notebook Pro,Computadores,SP,Televendas,2,"R$ 6.524,63","13,8%","R$ 11.768,90",sim,2.0
PED-100125,08/03/2025,Headset,Áudio,RJ,E-commerce,3,"R$ 335,30","11,0%","R$ 1.304,45",sim,4.0
PED-100126,04/09/2025,Mouse Sem Fio,Periféricos,CE,E-commerce,4,"R$ 187,60","13,5%","R$ 693,80",sim,2.0
PED-100127,06/04/2024,Headset,Áudio,SP,Marketplace,1,"R$ 314,53","9,1%","R$ 365,59",sim,5.0
PED-100128,25/12/2024,Teclado Mecânico,Periféricos,SP,Marketplace,1,"R$ 448,40","5,7%","R$ 442,77",sim,5.0
PED-100129,08/10/2024,Cadeira Ergo,Mobiliário,MG,Marketplace,2,"R$ 1.893,39","13,2%","R$ 2.934,56",sim,3.0
PED-100130,17/08/2024,Teclado Mecânico,Periféricos,SP,Televendas,1,"R$ 440,87","15,8%","R$ 213,05",nao,4.0
PED-100131,02/06/2024,Webcam HD,Áudio,SP,E-commerce,2,"R$ 300,72","7,3%","R$ 668,60",sim,2.0
PED-100132,03/02/2024,Notebook Pro,Computadores,RJ,Loja Física,1,"R$ 6.780,86","4,8%","R$ 7.280,71",sim,1.0
PED-100133,14/09/2024,"Monitor 27""",Periféricos,SP,Marketplace,2,"R$ 1.306,90","4,3%","R$ 2.282,86",sim,1.0
PED-100134,12/06/2025,"Monitor 27""",Periféricos,PE,Marketplace,3,"R$ 1.347,63","7,7%","R$ 5.270,53",sim,3.0
PED-100135,02/03/2024,Mouse Sem Fio,Periféricos,GO,E-commerce,1,"R$ 182,78","8,0%","R$ 206,65",sim,5.0
PED-100136,16/09/2024,"Monitor 27""",Periféricos,BA,Televendas,2,"R$ 1.467,96","11,8%","R$ 2.364,09",sim,1.0
PED-100137,11/09/2025,Webcam HD,Áudio,SP,Televendas,3,"R$ 284,29","10,8%","R$ 813,02",sim,4.0
PED-100138,31/08/2025,Teclado Mecânico,Periféricos,BA,E-commerce,2,"R$ 420,26","15,4%","R$ 825,39",nao,4.0
PED-100139,17/05/2024,Mouse Sem Fio,Periféricos,SP,E-commerce,4,"R$ 159,50","11,4%","R$ 715,97",sim,5.0
PED-100140,05/01/2024,Headset,Áudio,CE,E-commerce,3,"R$ 376,14","9,8%","R$ 1.017,92",sim,3.0
PED-100141,05/03/2025,Mouse Sem Fio,Periféricos,SP,Marketplace,3,"R$ 179,33","9,0%","R$ 713,75",nao,
PED-100142,10/01/2024,Headset,Áudio,SP,Loja Física,2,"R$ 305,39","4,9%","R$ 580,80",sim,2.0
PED-100143,11/07/2024,Mesa Ajustável,Mobiliário,SP,Loja Física,4,"R$ 2.606,86","15,8%","R$ 9.624,31",sim,4.0
PED-100144,14/11/2024,Webcam HD,Áudio,MG,E-commerce,3,"R$ 274,39","12,0%","R$ 679,83",sim,1.0
PED-100145,13/07/2025,Notebook Pro,Computadores,SP,E-commerce,1,"R$ 6.345,36","6,2%","R$ 7.667,86",sim,5.0
PED-100146,29/02/2024,Mouse Sem Fio,Periféricos,SC,Televendas,1,"R$ 183,68","0,4%","R$ 206,27",sim,5.0
PED-100147,27/02/2025,Mesa Ajustável,Mobiliário,SP,E-commerce,3,"R$ 2.298,53","12,9%","R$ 8.052,61",nao,1.0
PED-100148,07/12/2024,Cadeira Ergo,Mobiliário,PR,Televendas,2,"R$ 1.768,62","10,9%","R$ 3.299,05",nao,2.0
PED-100149,25/03/2024,Cadeira Ergo,Mobiliário,RJ,Marketplace,2,"R$ 1.944,31","7,9%","R$ 4.402,07",nao,4.0
PED-100150,25/06/2025,Mouse Sem Fio,Periféricos,PE,Loja Física,4,"R$ 177,50","13,9%","R$ 862,79",sim,5.0
PED-100151,24/06/2025,Mouse Sem Fio,Periféricos,RJ,Loja Física,4,"R$ 171,97","11,6%","R$ 858,21",sim,3.0
PED-100152,04/11/2024,Webcam HD,Áudio,SP,E-commerce,4,"R$ 296,38","7,9%","R$ 1.025,11",sim,2.0
PED-100153,27/08/2025,Notebook Pro,Computadores,RJ,E-commerce,2,"R$ 7.194,09","13,5%","R$ 14.442,87",nao,5.0
PED-100154,23/01/2025,Headset,Áudio,RJ,Televendas,2,"R$ 349,51","1,8%","R$ 818,41",sim,5.0
PED-100155,01/08/2025,Notebook Pro,Computadores,RJ,E-commerce,1,"R$ 6.942,04","6,2%","R$ 7.557,99",nao,3.0
PED-100156,06/09/2025,Cadeira Ergo,Mobiliário,MG,Marketplace,2,"R$ 1.894,52","6,8%","R$ 3.775,16",nao,1.0
PED-100157,30/12/2024,Mouse Sem Fio,Periféricos,CE,Marketplace,5,"R$ 177,12","0,7%","R$ 920,19",sim,4.0
PED-100158,28/06/2024,Mesa Ajustável,Mobiliário,RJ,Loja Física,3,"R$ 2.485,91","10,3%","R$ 8.017,68",sim,5.0
PED-100159,03/04/2024,Headset,Áudio,SP,Televendas,3,"R$ 354,57","11,1%","R$ 1.208,79",sim,1.0
PED-100160,26/12/2024,Headset,Áudio,SP,Marketplace,2,"R$ 311,36","0,1%","R$ 650,92",sim,4.0
PED-100161,03/05/2024,Webcam HD,Áudio,PR,Loja Física,3,"R$ 314,23","0,0%","R$ 1.194,13",sim,3.0
PED-100162,25/04/2025,Headset,Áudio,RS,Loja Física,3,"R$ 377,31","2,1%","R$ 1.677,11",sim,1.0
PED-100163,16/08/2025,Teclado Mecânico,Periféricos,SP,E-commerce,1,"R$ 436,62","5,9%","R$ 476,87",sim,5.0
PED-100164,06/06/2024,Cadeira Ergo,Mobiliário,RJ,E-commerce,1,"R$ 1.824,27","7,3%","R$ 2.027,46",sim,1.0
PED-100165,19/12/2024,Headset,Áudio,SP,Loja Física,3,"R$ 324,74","10,5%","R$ 912,16",sim,4.0
PED-100166,01/02/2024,Notebook Pro,Computadores,SP,E-commerce,2,"R$ 6.816,71","18,2%","R$ 12.582,24",sim,2.0
PED-100167,25/04/2024,"Monitor 27""",Periféricos,SP,Loja Física,1,"R$ 1.330,78","18,8%","R$ 1.381,70",sim,4.0
PED-100168,29/08/2024,Notebook Pro,Computadores,MG,Televendas,4,"R$ 7.281,30","10,2%","R$ 15.016,52",sim,2.0
PED-100169,19/07/2025,Headset,Áudio,SP,Marketplace,3,"R$ 346,75","4,9%","R$ 1.274,38",nao,1.0
PED-100170,12/09/2025,Mouse Sem Fio,Periféricos,SP,E-commerce,1,"R$ 177,17","10,1%","R$ 170,16",nao,2.0
PED-100171,14/02/2025,Teclado Mecânico,Periféricos,SP,Televendas,4,"R$ 407,42","0,0%","R$ 2.185,23",sim,5.0
PED-100172,08/01/2025,Mesa Ajustável,Mobiliário,RJ,Loja Física,2,"R$ 2.676,83","1,1%","R$ 6.311,29",sim,5.0
PED-100173,30/12/2024,Teclado Mecânico,Periféricos,RJ,E-commerce,1,"R$ 423,50","6,3%","R$ 415,41",nao,5.0
PED-100174,08/02/2024,Cadeira Ergo,Mobiliário,BA,Loja Física,5,"R$ 2.025,51","7,9%","R$ 10.520,19",nao,4.0
PED-100175,28/08/2024,Notebook Pro,Computadores,MG,Loja Física,1,"R$ 6.841,63","5,8%","R$ 3.698,36",sim,2.0
PED-100176,21/09/2025,Notebook Pro,Computadores,SP,E-commerce,1,"R$ 6.514,80","18,8%","R$ 5.650,91",sim,4.0
PED-100177,20/09/2024,Webcam HD,Áudio,BA,E-commerce,2,"R$ 277,37","11,6%","R$ 447,78",sim,1.0
PED-100178,16/05/2024,Mesa Ajustável,Mobiliário,BA,E-commerce,2,"R$ 2.240,47","14,5%","R$ 4.852,58",nao,4.0
PED-100179,02/06/2024,Notebook Pro,Computadores,PE,Loja Física,3,"R$ 6.233,82","3,3%","R$ 21.689,42",sim,3.0
PED-100180,01/04/2025,Headset,Áudio,CE,E-commerce,6,"R$ 334,84","10,8%","R$ 2.712,41",sim,2.0
PED-100181,25/01/2024,"Monitor 27""",Periféricos,RJ,E-commerce,2,"R$ 1.362,92","11,8%","R$ 2.403,40",nao,5.0
PED-100182,12/09/2025,"Monitor 27""",Periféricos,SP,Televendas,3,"R$ 1.536,52","5,0%","R$ 4.681,17",sim,5.0
PED-100183,14/07/2025,"Monitor 27""",Periféricos,CE,Marketplace,1,"R$ 1.539,09","5,6%","R$ 1.871,42",sim,1.0
PED-100184,29/12/2024,Mouse Sem Fio,Periféricos,SP,Loja Física,4,"R$ 180,22","16,3%","R$ 631,45",nao,1.0
PED-100185,26/10/2024,Mesa Ajustável,Mobiliário,SC,,3,"R$ 2.537,07","7,8%","R$ 6.258,63",sim,1.0
PED-100186,02/05/2025,"Monitor 27""",Periféricos,RJ,Televendas,1,"R$ 1.470,07","9,0%","R$ 1.999,40",nao,4.0
PED-100187,16/12/2024,Headset,Áudio,PE,E-commerce,1,"R$ 393,47","7,6%","R$ 380,72",nao,
PED-100188,01/11/2024,Mouse Sem Fio,Periféricos,RJ,E-commerce,3,"R$ 183,24","17,2%","R$ 427,26",nao,4.0
PED-100189,25/07/2024,Teclado Mecânico,Periféricos,SP,Marketplace,3,"R$ 419,46","16,0%","R$ 1.159,11",sim,5.0
PED-100190,12/10/2024,Headset,Áudio,RJ,Loja Física,2,"R$ 349,44","9,6%","R$ 563,46",sim,4.0
PED-100191,25/04/2025,Mesa Ajustável,Mobiliário,BA,E-commerce,2,"R$ 2.249,25","8,6%","R$ 6.223,31",sim,2.0
PED-100192,05/02/2024,Headset,Áudio,BA,E-commerce,2,"R$ 353,30","8,8%","R$ 726,38",nao,4.0
PED-100193,17/01/2024,Mouse Sem Fio,Periféricos,CE,Televendas,3,"R$ 182,91","12,9%","R$ 477,80",sim,3.0
PED-100194,06/04/2025,Headset,Áudio,RJ,Televendas,3,"R$ 336,40","0,0%","R$ 1.526,71",sim,1.0
PED-100195,26/08/2024,Mesa Ajustável,Mobiliário,SP,E-commerce,2,"R$ 2.190,67","4,8%","R$ 2.393,74",nao,1.0
PED-100196,29/05/2025,Mouse Sem Fio,Periféricos,SP,Marketplace,2,"R$ 176,50","15,6%","R$ 445,69",sim,4.0
PED-100197,20/01/2024,Mesa Ajustável,Mobiliário,PR,E-commerce,1,"R$ 2.288,53","3,3%","R$ 2.212,47",sim,5.0
PED-100198,03/08/2025,Mesa Ajustável,Mobiliário,MG,E-commerce,1,"R$ 2.388,90","6,0%","R$ 2.607,48",nao,1.0
